task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range
mackey_glass,2,temperature,9,8,9,2,0.15384615384615385,1,1,0.75,0.16666666666666666,0.0035529051537092,0.0035529051537092,-0.008877968943617786,0.012430874097326986,0.05110870693281683,0.04755580177910763,0.04755580177910763,55.174624928124395,0.242809231788634
mackey_glass,3,temperature,9,8,9,2,0.15384615384615385,1,1,0.4166666666666667,0.16666666666666666,0.0,0.0,-0.006917735021868837,0.006917735021868837,0.028535927856791203,0.028535927856791203,0.028535927856791203,55.14844875973869,0.1430375326253539
mackey_glass,4,temperature,8,8,8,1,0.07692307692307693,0,0,0.3076923076923077,0.07692307692307693,0.0,0.0158066732002394,-0.024264962909152307,0.024264962909152307,0.0755535816862604,0.0755535816862604,0.059746908486021,55.16822223847392,0.0795244356888456
mackey_glass,5,temperature,10,10,10,1,0.07692307692307693,1,0,0.9230769230769231,0.07692307692307693,0.0,0.0039843343720123575,8.404519554450367e-05,-8.404519554450367e-05,0.01735101290808589,0.01735101290808589,0.013366678536073533,55.18769187513591,0.11042965031624197
mackey_glass,6,temperature,1,0,12,13,1.0,1,1,1.0,1.0,0.011354190558672997,0.011354190558672997,0.011354190558672997,0.0,0.047570945184253415,0.03621675462558042,0.03621675462558042,55.19440259073258,0.1264014467575929
mackey_glass,7,temperature,1,0,1,2,0.15384615384615385,1,0,0.6666666666666666,0.16666666666666666,0.0,0.006486852716645161,-0.04437977015448353,0.04437977015448353,0.07629876701242613,0.07629876701242613,0.06981191429578097,55.09519903461753,0.1311211532161023
memory_d10,0,temperature,0,0,0,1,0.07692307692307693,1,1,0.15384615384615385,0.07692307692307693,0.0,0.0,-0.04829367212505535,0.04829367212505535,0.7983752605511838,0.7983752605511838,0.7983752605511838,55.28390003194053,0.1229588493870658
memory_d10,1,temperature,2,1,3,3,0.23076923076923078,1,1,0.36363636363636365,0.2727272727272727,0.0,0.0,-0.04790768148424616,0.04790768148424616,0.699534952683491,0.699534952683491,0.699534952683491,55.20211758762425,0.07234558352104381
memory_d10,2,temperature,12,10,12,3,0.23076923076923078,1,1,0.18181818181818182,0.18181818181818182,0.005592698749569247,0.005592698749569247,-0.07578237729345054,0.08137507604301979,0.7289661826318123,0.7233734838822431,0.7233734838822431,54.91094203774203,0.1808688207634781
memory_d10,3,temperature,12,12,12,1,0.07692307692307693,1,0,0.15384615384615385,0.07692307692307693,0.0,0.0026747213062752184,-0.02209120355362339,0.02209120355362339,0.8641514773460214,0.8641514773460214,0.8614767560397462,55.31957620001195,0.20901048383402332
memory_d10,4,temperature,10,10,10,1,0.07692307692307693,1,1,0.15384615384615385,0.07692307692307693,0.0,0.0,-0.10444531669649158,0.10444531669649158,0.730005361783548,0.730005361783548,0.730005361783548,55.032175900713305,0.13927926788565448
memory_d10,5,temperature,12,11,12,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.003933168567209155,0.003933168567209155,-0.08498039488907949,0.08891356345628865,0.7361951040700245,0.7322619355028154,0.7322619355028154,55.31595194411953,0.31710947394055033
memory_d10,6,temperature,9,8,9,2,0.15384615384615385,1,1,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.07143360447353538,0.07143360447353538,0.6885105283155777,0.6885105283155777,0.6885105283155777,55.20443284289263,0.15051661504912361
memory_d10,7,temperature,0,0,0,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.03560317097556376,-0.008506047519349256,0.008506047519349256,0.8263486307018197,0.8263486307018197,0.790745459726256,55.14651657427936,0.2423092292289113
narma10,0,temperature,0,0,0,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.03953745833105869,0.03953745833105869,0.6962481749966873,0.6962481749966873,0.6962481749966873,54.93143831123409,0.5410882990586872
narma10,1,temperature,9,9,10,2,0.15384615384615385,1,1,0.3333333333333333,0.16666666666666666,0.017976439738822125,0.017976439738822125,-0.05661890866507325,0.07459534840389537,0.6991276442290227,0.6811512044902006,0.6811512044902006,55.145838875250234,0.1375746948510148
narma10,2,temperature,11,10,12,3,0.23076923076923078,1,1,0.2727272727272727,0.18181818181818182,0.0,0.0,-0.03122499720510218,0.03122499720510218,0.5456322442996268,0.5456322442996268,0.5456322442996268,55.16813329318086,0.11480969821861509
narma10,3,temperature,12,12,12,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.057006083401254744,0.057006083401254744,0.7103955551493729,0.7103955551493729,0.7103955551493729,55.06165329067788,0.19108531273563656
narma10,4,temperature,8,8,8,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.07456909610161486,0.07456909610161486,0.650236187546272,0.650236187546272,0.650236187546272,54.92230244065081,0.09838873341293763
narma10,5,temperature,10,10,11,2,0.15384615384615385,1,1,0.3333333333333333,0.16666666666666666,0.0,0.0,-0.034133310569149644,0.034133310569149644,0.7386342851863767,0.7386342851863767,0.7386342851863767,55.15136455823156,0.09797845932464155
narma10,6,temperature,3,3,4,2,0.15384615384615385,0,0,0.25,0.16666666666666666,0.0,0.01780264248458796,-0.040374560709700934,0.040374560709700934,0.614923298589528,0.614923298589528,0.59712065610494,55.16248981014866,0.11219156189498314
narma10,7,temperature,9,9,9,1,0.07692307692307693,0,0,0.15384615384615385,0.07692307692307693,0.0,0.058136267993161295,-0.005916634382189743,0.005916634382189743,0.7013443704338094,0.7013443704338094,0.6432081024406481,55.207372036814114,0.09788703675804078
