config,N,K,task,trial,case_id,default_idx,default_tau,safe_low_idx,safe_high_idx,safe_low_tau,safe_high_tau,safe_width,safe_width_fraction,safe_log_cell_fraction,safe_log_center_span_fraction,test_oracle_idx,test_oracle_tau,safe_contains_near,safe_contains_oracle,matched_near_rate,matched_oracle_rate,containment_lift_near_case,containment_lift_oracle_case,default_test_nrmse,safe_best_test_nrmse,full_oracle_test_nrmse,safe_gain,full_oracle_gain,matched_best_gain,safe_minus_matched_gain,support_range,support_fraction_range,spectral_radius_range
N60_K13_baseline,60,13,narma10,3,narma10__trial3,12,3.5,12,12,3.5,3.5,1,0.07692307692307693,0.07692307692307697,0.0,12,3.5,1,1,0.07692307692307693,0.07692307692307693,12.999999999831,12.999999999831,0.7103955551493729,0.7103955551493729,0.7103955551493729,0.0,0.0,-0.057006083401254744,0.057006083401254744,55.06165329067788,0.9176942215112981,0.19108531273563656
N60_K13_baseline,60,13,lorenz_x,0,lorenz_x__trial0,6,0.529150262212918,6,8,0.529150262212918,0.9932883883792685,3,0.23076923076923078,0.2307692307692308,0.16666666666662255,6,0.529150262212918,1,1,0.36363636363636365,0.2727272727272727,2.7499999999924376,3.6666666666532226,0.01563046622059489,0.01563046622059489,0.01563046622059489,0.0,0.0,-0.005582907230151571,0.005582907230151571,55.12428668379441,0.9187381113965735,0.2264575694492077
N60_K13_baseline,60,13,lorenz_x,1,lorenz_x__trial1,2,0.15017108890398193,0,12,0.07999999999999999,3.5,13,1.0,1.0,0.9999999999997353,0,0.07999999999999999,1,1,1.0,1.0,0.9999999999989999,0.9999999999989999,0.010533878009688332,0.008032595188134973,0.008032595188134973,0.002501282821553359,0.002501282821553359,0.002501282821553359,0.0,55.17522928533734,0.9195871547556222,0.06887479980985933
N60_K13_baseline,60,13,lorenz_x,2,lorenz_x__trial2,12,3.5,12,12,3.5,3.5,1,0.07692307692307693,0.07692307692307697,0.0,2,0.15017108890398193,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.08819086758917141,0.08819086758917141,0.05010425671913199,0.0,0.03808661087003942,-0.019550031387221847,0.019550031387221847,55.316272586045415,0.9219378764340902,0.12398781033205242
N60_K13_baseline,60,13,lorenz_x,3,lorenz_x__trial3,4,0.28189194928259564,4,5,0.28189194928259564,0.38621651813276453,2,0.15384615384615385,0.15384615384615385,0.08333333333331122,4,0.28189194928259564,1,1,0.25,0.16666666666666666,3.9999999999840004,5.999999999964,0.016394267171499558,0.016394267171499558,0.016394267171499558,0.0,0.0,-0.024706455248043404,0.024706455248043404,55.25391829525145,0.9208986382541908,0.11422535615768359
N60_K25_finer_grid,60,25,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,3,0.12829574239059252,1,5,0.09364057519339374,0.17577633927983924,5,0.2,0.20000000000000004,0.16666666666662258,3,0.12829574239059252,1,1,0.2857142857142857,0.19047619047619047,3.4999999999877507,5.249999999972438,0.8488241112886331,0.8488241112886331,0.8488241112886331,0.0,0.0,-0.050956216796768906,0.050956216796768906,55.18259548609684,0.9197099247682806,0.12766810373044657
N60_K25_finer_grid,60,25,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,0,0.07999999999999999,0,5,0.07999999999999999,0.17577633927983924,6,0.24,0.24000000000000002,0.20833333333327816,4,0.15017108890398193,1,1,0.65,0.25,1.5384615384591716,3.9999999999840004,0.9868425773057097,0.9768889410876098,0.9768889410876098,0.00995363621809986,0.00995363621809986,0.0059118318485065656,0.004041804369593294,55.09332299198959,0.9182220498664931,0.13596766582886588
N60_K25_finer_grid,60,25,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,11,0.45206921133927336,11,12,0.45206921133927336,0.529150262212918,2,0.08,0.08000000000000002,0.04166666666665563,8,0.28189194928259564,0,0,0.125,0.08333333333333333,0.0,0.0,0.9527786944003498,0.9527786944003498,0.9310518966048223,0.0,0.02172679779552744,-0.002013581564170766,0.002013581564170766,55.184193039950806,0.9197365506658467,0.3593626361739044
N60_K25_finer_grid,60,25,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,0,0.07999999999999999,0,1,0.07999999999999999,0.09364057519339374,2,0.08,0.07999999999999993,0.0416666666666556,14,0.7249819385087718,0,0,0.125,0.08333333333333333,0.0,0.0,0.9013134042581753,0.9013134042581753,0.877524459432285,0.0,0.023788944825890335,-0.017652625272917832,0.017652625272917832,55.27826637397668,0.9213044395662778,0.19179127036241128
N60_K25_finer_grid,60,25,memory_d10,0,memory_d10__trial0,13,0.6193741864669097,13,13,0.6193741864669097,0.6193741864669097,1,0.04,0.039999999999999994,0.0,0,0.07999999999999999,0,0,0.16,0.04,0.0,0.0,0.847023709754653,0.847023709754653,0.7983752605511838,0.0,0.048648449203469224,-0.0011532454779140356,0.0011532454779140356,55.28390003194053,0.9213983338656756,0.15363719620083438
N60_K25_finer_grid,60,25,memory_d10,1,memory_d10__trial1,5,0.17577633927983924,2,7,0.1096069665318704,0.24082889170675045,6,0.24,0.24000000000000002,0.2083333333332781,3,0.12829574239059252,1,1,0.35,0.2,2.8571428571346944,4.9999999999749996,0.7029280684464858,0.6992525148256765,0.6992525148256765,0.003675553620809291,0.003675553620809291,-0.04149568077197934,0.04517123439278863,55.20211758762425,0.9200352931270709,0.08143660468015157
N60_K25_finer_grid,60,25,memory_d10,2,memory_d10__trial2,23,2.9901567714820447,19,24,1.5929333899384184,3.5,6,0.24,0.24000000000000007,0.20833333333327822,22,2.554582148011408,1,1,0.2,0.15,4.9999999999749996,6.6666666666222225,0.7241526930416832,0.7233734838822431,0.7233734838822431,0.0007792091594400752,0.0007792091594400752,-0.07841835802338129,0.07919756718282137,54.91094203774203,0.9151823672957005,0.19603766676675471
N60_K25_finer_grid,60,25,memory_d10,3,memory_d10__trial3,24,3.5,23,24,2.9901567714820447,3.5,2,0.08,0.0800000000000001,0.041666666666655715,21,2.1824574594809887,0,0,0.125,0.08333333333333333,0.0,0.0,0.8641514773460214,0.8641514773460214,0.8587577378898982,0.0,0.005393739456123203,-0.019309042750979683,0.019309042750979683,55.31957620001195,0.921992936666866,0.21725234463950083
