config,N,K,task,trial,case_id,window_id,window_start,window_end,safe_width,dashboard_defined,safe_gain,full_gain,positive_safe_gain,safe_dispersion,anchor_spread,local_log_sensitivity
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,16,400,450,3,True,0.02774362139695752,0.03287643052353828,1,0.03646437552421965,0.10635223414219275,0.18312163128981734
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,17,425,475,3,True,0.031153887654010837,0.03150387172638236,1,0.038247729202630996,0.11010439315600296,0.1866394589140968
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,18,450,500,3,True,0.0,0.13775484258541493,0,0.03844100364330475,0.11005453062107753,0.1835098447786263
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,0,0,50,3,True,0.010110645143247776,0.010110645143247776,1,0.1063590566841422,0.24077697127010414,0.6010774565750207
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,1,25,75,3,True,0.05577974314913414,0.05577974314913414,1,0.11932905123503304,0.28261464893990396,0.7003351204315134
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,2,50,100,3,True,0.1277424950915429,0.18443577153820756,1,0.15138598534634284,0.37621456482586174,0.8699004594656063
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,3,75,125,3,True,0.0856767104312759,0.15317927324689773,1,0.15224190477103852,0.37442749460769814,0.8547856574775134
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,4,100,150,3,True,0.02988830393287989,0.059833118602499624,1,0.17253878226148503,0.4300328291174611,0.9473248364709388
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,5,125,175,3,True,0.11587445164381482,0.1501188579516325,1,0.23915851074514086,0.5891826876332039,1.3729969166226677
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,6,150,200,3,True,0.1905147746076632,0.1905147746076632,1,0.22608861014338674,0.5514041966040467,1.2323504435871362
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,7,175,225,3,True,0.04953431312869161,0.04953431312869161,1,0.1333372072512255,0.3354135559846699,0.7343619885059691
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,8,200,250,3,True,0.033063130294806675,0.033063130294806675,1,0.11155633385569423,0.28412945345125307,0.6102960831701003
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,9,225,275,3,True,0.037550210068712175,0.037550210068712175,1,0.1519841922953428,0.36726413420084636,0.79421318704389
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,10,250,300,3,True,0.041852206771277545,0.09659539459458677,1,0.15997590191297462,0.3936846433844093,0.8104627736257153
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,11,275,325,3,True,0.04260127223364496,0.1767423062314707,1,0.13641664730534253,0.35030889459499776,0.6889032192955471
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,12,300,350,3,True,0.003588418942967575,0.08547169806111365,1,0.11757192097434634,0.31261820605762497,0.6299118670584496
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,13,325,375,3,True,0.0183220195416669,0.0794366269843152,1,0.12330077074097677,0.29206014935401486,0.7161420620358248
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,14,350,400,3,True,0.0629713509449723,0.13416014435126788,1,0.12143551268614529,0.2541475333477326,0.7196801812821052
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,15,375,425,3,True,0.022549069104724206,0.0568531260460452,1,0.13278670292976044,0.3188395343894615,0.7437389413206432
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,16,400,450,3,True,0.0,0.0027083497800878265,0,0.15262432365301257,0.39848964283691596,0.8108624837530147
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,17,425,475,3,True,0.028829544193952117,0.028829544193952117,1,0.14188564319437355,0.3806549251722711,0.7439845144213343
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,18,450,500,3,True,0.01589589538896874,0.01589589538896874,1,0.11974725444743238,0.2965809103606961,0.645424722661375
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,0,0,50,1,False,0.0,0.1100683421646711,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,1,25,75,1,False,0.0,0.09694720360908904,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,2,50,100,1,False,0.0,0.017439280329441975,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,3,75,125,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,4,100,150,1,False,0.0,0.014148848069821085,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,5,125,175,1,False,0.0,0.09798628647542396,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,6,150,200,1,False,0.0,0.10515938766304417,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,7,175,225,1,False,0.0,0.1137692968185614,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,8,200,250,1,False,0.0,0.1189331392210986,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,9,225,275,1,False,0.0,0.10187288856448284,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,10,250,300,1,False,0.0,0.0752159204769457,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,11,275,325,1,False,0.0,0.050721991686241474,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,12,300,350,1,False,0.0,0.09424521562089017,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,13,325,375,1,False,0.0,0.06867267616366735,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,14,350,400,1,False,0.0,0.016508153929375657,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,15,375,425,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,16,400,450,1,False,0.0,0.019739943949320105,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,17,425,475,1,False,0.0,0.05855462662530608,0,,,
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,18,450,500,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,0,0,50,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,1,25,75,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,2,50,100,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,3,75,125,1,False,0.0,0.11518966882140069,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,4,100,150,1,False,0.0,0.10477983084843179,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,5,125,175,1,False,0.0,0.029275828784867897,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,6,150,200,1,False,0.0,0.02600192787350819,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,7,175,225,1,False,0.0,0.08060156110851158,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,8,200,250,1,False,0.0,0.04736266819654267,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,9,225,275,1,False,0.0,0.09517564001118106,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,10,250,300,1,False,0.0,0.07973533044814662,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,11,275,325,1,False,0.0,0.013152451593343994,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,12,300,350,1,False,0.0,0.012266715096929781,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,13,325,375,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,14,350,400,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,15,375,425,1,False,0.0,0.06521452737971534,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,16,400,450,1,False,0.0,0.005648060463075977,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,17,425,475,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,18,450,500,1,False,0.0,0.09631172864657711,0,,,
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,0,0,50,3,True,0.0,0.046610809503803585,0,0.1053702797309945,0.28605609426441153,0.5081376170002415
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,1,25,75,3,True,0.0,0.0,0,0.11952106297257267,0.3246824998823474,0.5686305940704756
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,2,50,100,3,True,0.013342361351674659,0.013342361351674659,1,0.12275437848982815,0.3394961284250866,0.5905517455580911
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,3,75,125,3,True,0.002831248722578561,0.002831248722578561,1,0.10948397418832805,0.3057917970779662,0.5456031166131459
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,4,100,150,3,True,0.0,0.0,0,0.09788635991898724,0.2822379737596257,0.5029187309655054
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,5,125,175,3,True,0.015570947487357434,0.11265501550860957,1,0.12005229909649653,0.3381118331316737,0.5906189900502916
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,6,150,200,3,True,0.0,0.033928645114409295,0,0.12889651337711483,0.3463513341389222,0.6032247544260217
