config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,memory_d10,1,4,0.28189194928259564,0.7006914739229934,0.7230137411785804,-0.7006914739229934,-0.7230137411785804
N60_K13_baseline,60,13,memory_d10,1,5,0.38621651813276453,0.7246763150393966,0.7243518877965065,-0.7246763150393966,-0.7243518877965065
N60_K13_baseline,60,13,memory_d10,1,6,0.529150262212918,0.7970476160988184,0.7922832314680303,-0.7970476160988184,-0.7922832314680303
N60_K13_baseline,60,13,memory_d10,1,7,0.7249819385087718,0.8371600463235241,0.827838565296008,-0.8371600463235241,-0.827838565296008
N60_K13_baseline,60,13,memory_d10,1,8,0.9932883883792685,0.8295621707933151,0.7966080126637148,-0.8295621707933151,-0.7966080126637148
N60_K13_baseline,60,13,memory_d10,1,9,1.3608915892697748,0.8040363921041557,0.8009711439188817,-0.8040363921041557,-0.8009711439188817
N60_K13_baseline,60,13,memory_d10,1,10,1.864539985982451,0.7894088433800648,0.7927968341356557,-0.7894088433800648,-0.7927968341356557
N60_K13_baseline,60,13,memory_d10,1,11,2.554582148011408,0.7802649844708164,0.7919643503473097,-0.7802649844708164,-0.7919643503473097
N60_K13_baseline,60,13,memory_d10,1,12,3.5,0.7842801149216581,0.7957176609583013,-0.7842801149216581,-0.7957176609583013
N60_K13_baseline,60,13,memory_d10,2,0,0.07999999999999999,0.7961533138743159,0.8058903304895624,-0.7961533138743159,-0.8058903304895624
N60_K13_baseline,60,13,memory_d10,2,1,0.1096069665318704,0.790084626524005,0.8019890063924424,-0.790084626524005,-0.8019890063924424
N60_K13_baseline,60,13,memory_d10,2,2,0.15017108890398193,0.803945569841107,0.8077351144422596,-0.803945569841107,-0.8077351144422596
N60_K13_baseline,60,13,memory_d10,2,3,0.20574746894441603,0.8081006778112821,0.8240954317525209,-0.8081006778112821,-0.8240954317525209
N60_K13_baseline,60,13,memory_d10,2,4,0.28189194928259564,0.8272683947155719,0.8672510574781299,-0.8272683947155719,-0.8672510574781299
N60_K13_baseline,60,13,memory_d10,2,5,0.38621651813276453,0.8864022779595806,0.9051666297063553,-0.8864022779595806,-0.9051666297063553
N60_K13_baseline,60,13,memory_d10,2,6,0.529150262212918,0.8992440797640311,0.8977116073637706,-0.8992440797640311,-0.8977116073637706
N60_K13_baseline,60,13,memory_d10,2,7,0.7249819385087718,0.9065983921023449,0.8916780009572863,-0.9065983921023449,-0.8916780009572863
N60_K13_baseline,60,13,memory_d10,2,8,0.9932883883792685,0.8601844019196281,0.8774431251284361,-0.8601844019196281,-0.8774431251284361
N60_K13_baseline,60,13,memory_d10,2,9,1.3608915892697748,0.7657406777306953,0.7876561601170254,-0.7657406777306953,-0.7876561601170254
N60_K13_baseline,60,13,memory_d10,2,10,1.864539985982451,0.7454987573155701,0.7456502887528623,-0.7454987573155701,-0.7456502887528623
N60_K13_baseline,60,13,memory_d10,2,11,2.554582148011408,0.7333487845487775,0.7233734838822431,-0.7333487845487775,-0.7233734838822431
N60_K13_baseline,60,13,memory_d10,2,12,3.5,0.733260142038893,0.7289661826318123,-0.733260142038893,-0.7289661826318123
N60_K13_baseline,60,13,memory_d10,3,0,0.07999999999999999,0.8931466842912071,0.8867841480406159,-0.8931466842912071,-0.8867841480406159
N60_K13_baseline,60,13,memory_d10,3,1,0.1096069665318704,0.8782313867183166,0.8943863006270047,-0.8782313867183166,-0.8943863006270047
N60_K13_baseline,60,13,memory_d10,3,2,0.15017108890398193,0.8687682320734637,0.9018730481612607,-0.8687682320734637,-0.9018730481612607
N60_K13_baseline,60,13,memory_d10,3,3,0.20574746894441603,0.8778453282129278,0.9027107535255672,-0.8778453282129278,-0.9027107535255672
N60_K13_baseline,60,13,memory_d10,3,4,0.28189194928259564,0.8932286485736073,0.8940805051570136,-0.8932286485736073,-0.8940805051570136
